iter	Passed	Remaining
404	8855	428457
405	8879	428512
406	8900	428457
407	8922	428434
408	8941	428295
409	8962	428218
410	8986	428335
411	9007	428259
412	9027	428148
413	9049	428140
414	9070	428074
415	9092	428046
416	9115	428078
417	9138	428092
418	9159	428066
419	9180	427993
420	9202	427956
421	9223	427896
422	9245	427881
423	9266	427848
424	9289	427849
425	9310	427801
426	9333	427838
427	9354	427788
428	9376	427746
429	9398	427743
430	9419	427699
431	9442	427732
432	9464	427696
433	9485	427647
434	9505	427547
435	9528	427579
436	9550	427552
437	9571	427487
438	9593	427472
439	9616	427496
440	9639	427508
441	9659	427430
442	9681	427428
443	9702	427357
444	9726	427408
445	9748	427401
446	9771	427453
447	9793	427410
448	9815	427403
449	9837	427365
450	9864	427584
451	9886	427586
452	9909	427600
453	9935	427741
454	9956	427707
455	9978	427666
456	10000	427678
457	10023	427691
458	10044	427639
459	10065	427553
460	10087	427561
461	10111	427603
462	10131	427503
463	10154	427543
464	10176	427541
465	10196	427423
466	10218	427419
467	10240	427395
468	10262	427380
469	10282	427289
470	10306	427324
471	10326	427233
472	10347	427197
473	10368	427120
474	10388	427022
475	10408	426928
476	10429	426873
477	10449	426784
478	10473	426835
479	10494	426774
480	10514	426695
481	10536	426650
482	10557	426615
483	10580	426623
484	10602	426602
485	10624	426617
486	10647	426626
487	10670	426646
488	10691	426570
489	10712	426550
490	10734	426498
491	10754	426408
492	10776	426407
493	10798	426369
494	10820	426356
495	10841	426304
496	10863	426294
497	10884	426234
498	10905	426196
499	10926	426152
500	10948	426106
501	10975	426278
502	10997	426282
503	11019	426250
504	11042	426275
505	11064	426266
506	11086	426253
507	11107	426207
508	11129	426170
509	11150	426123
510	11172	426117
511	11194	426100
512	11215	426022
513	11236	425978
514	11258	425960
515	11280	425963
516	11302	425923
517	11323	425894
518	11346	425886
519	11369	425903
520	11389	425827
521	11411	425803
522	11432	425749
523	11453	425685
524	11474	425646
525	11495	425596
526	11518	425624
527	11542	425658
528	11563	425614
529	11585	425607
530	11605	425522
531	11627	425486
532	11648	425433
533	11672	425485
534	11692	425418
535	11713	425340
536	11735	425337
537	11756	425273
538	11779	425290
539	11800	425271
540	11822	425250
541	11847	425328
542	11869	425322
543	11891	425292
544	11915	425336
545	11935	425271
546	11957	425239
547	11979	425225
548	11999	425129
549	12021	425112
550	12041	425047
551	12064	425041
552	12085	425019
553	12109	425052
554	12131	425046
555	12153	425020
556	12175	424996
557	12199	425045
558	12220	425009
559	12242	424998
560	12263	424945
561	12284	424872
562	12304	424811
563	12326	424778
564	12346	424703
565	12367	424654
566	12389	424646
567	12411	424610
568	12430	424503
569	12452	424488
570	12473	424435
571	12495	424422
572	12518	424417
573	12539	424372
574	12559	424290
575	12580	424243
576	12601	424207
577	12625	424233
578	12646	424181
579	12668	424164
580	12687	424060
581	12709	424028
582	12730	423984
583	12751	423956
584	12775	423990
585	12795	423906
586	12816	423877
587	12839	423873
588	12860	423815
589	12882	423811
590	12905	423836
591	12926	423792
592	12946	423695
593	12969	423728
594	12991	423689
595	13013	423670
596	13033	423612
597	13055	423576
598	13077	423575
599	13098	423502
600	13120	423500
601	13141	423448
602	13161	423387
603	13183	423340
604	13204	423308
605	13225	423253
606	13249	423299
607	13268	423190
608	13290	423191
609	13311	423143
610	13334	423149
611	13357	423150
612	13377	423090
613	13399	423076
614	13421	423053
615	13444	423078
616	13466	423037
617	13488	423034
618	13511	423049
619	13533	423041
620	13555	423007
621	13575	422937
622	13597	422925
623	13617	422826
624	13638	422795
625	13658	422720
626	13679	422674
627	13700	422634
628	13723	422625
629	13743	422546
630	13768	422639
631	13791	422658
632	13813	422637
633	13837	422688
634	13861	422732
635	13882	422672
636	13903	422640
637	13923	422549
638	13945	422523
639	13968	422540
640	13990	422539
641	14014	422586
642	14036	422557
643	14057	422509
644	14081	422542
645	14102	422521
646	14125	422512
647	14147	422495
648	14168	422454
649	14188	422370
650	14211	422393
651	14235	422441
652	14258	422444
653	14278	422384
